Name,Height,Eye_Color,Hair_Color,Species,Gender,Origin,Roles,Psychological_Conditions,Trauma_Intensity,Character_Appearances
"Shinji Ikari",154,"Brown","Brown","Human","Male","Japan","Pilot (Unit-01);Pilot (Unit-13);Third Child","Father Complex;Hedgehog's Dilemma;Avoidant Personality","High","Ep:1,Ep:2,Ep:3,Ep:4,Ep:5,Ep:6,Ep:7,Ep:8,Ep:9,Ep:10,Ep:11,Ep:12,Ep:13,Ep:14,Ep:15,Ep:16,Ep:17,Ep:18,Ep:19,Ep:20,Ep:21,Ep:22,Ep:23,Ep:24,Ep:25,Ep:26,Movie:EoE,Movie:1.0,Movie:2.0,Movie:3.0,Movie:3.0+1.0,Manga:Vol.1,Manga:Vol.2,Manga:Vol.3,Manga:Vol.4,Manga:Vol.5,Manga:Vol.6,Manga:Vol.7,Manga:Vol.8,Manga:Vol.9,Manga:Vol.10,Manga:Vol.11,Manga:Vol.12,Manga:Vol.13,Manga:Vol.14"
"Rei Ayanami",143,"Red","Blue","Human;Angel","Female","Unknown","Pilot (Unit-00);First Child","Identity Dissociation;Existential Crisis","High","Ep:1,Ep:2,Ep:3,Ep:4,Ep:5,Ep:6,Ep:7,Ep:8,Ep:9,Ep:10,Ep:11,Ep:12,Ep:13,Ep:14,Ep:15,Ep:16,Ep:17,Ep:18,Ep:19,Ep:20,Ep:21,Ep:22,Ep:23,Ep:24,Ep:25,Ep:26,Movie:EoE,Movie:1.0,Movie:2.0,Movie:3.0,Movie:3.0+1.0,Manga:Vol.1,Manga:Vol.2,Manga:Vol.3,Manga:Vol.4,Manga:Vol.5,Manga:Vol.6,Manga:Vol.7,Manga:Vol.8,Manga:Vol.9,Manga:Vol.10,Manga:Vol.11,Manga:Vol.12,Manga:Vol.13,Manga:Vol.14"
"Asuka Langley Soryu",149,"Blue","Auburn","Human","Female","Germany","Pilot (Unit-02);Second Child","Mother Complex;Hedgehog's Dilemma;Narcissistic Vulnerability;Abandonment Trauma","High","Ep:8,Ep:9,Ep:10,Ep:11,Ep:12,Ep:13,Ep:14,Ep:15,Ep:16,Ep:17,Ep:18,Ep:19,Ep:20,Ep:21,Ep:22,Ep:23,Ep:24,Ep:25,Ep:26,Movie:EoE,Manga:Vol.4,Manga:Vol.5,Manga:Vol.6,Manga:Vol.7,Manga:Vol.8,Manga:Vol.9,Manga:Vol.10,Manga:Vol.11,Manga:Vol.12,Manga:Vol.13,Manga:Vol.14"
"Asuka Langley Shikinami",152,"Blue","Auburn","Human","Female","Germany","Pilot (Unit-02);Pilot (Unit-03);Captain","Clonality Trauma;Hyper-Independence","High","Movie:2.0,Movie:3.0,Movie:3.0+1.0"
"Mari Illustrious",165,"Green","Brown","Human","Female","UK","Pilot (Unit-05);Pilot (Unit-08);Pilot (Unit-02)","None","Low","Movie:2.0,Movie:3.0,Movie:3.0+1.0,Manga:Vol.14"
"Misato Katsuragi",163,"Brown","Purple","Human","Female","Japan","Operations Director;Captain;Colonel","Electra Complex;Hedgehog's Dilemma;Coping Alcoholism","High","Ep:1,Ep:2,Ep:3,Ep:4,Ep:5,Ep:6,Ep:7,Ep:8,Ep:9,Ep:10,Ep:11,Ep:12,Ep:13,Ep:14,Ep:15,Ep:16,Ep:17,Ep:18,Ep:19,Ep:20,Ep:21,Ep:22,Ep:23,Ep:24,Ep:25,Ep:26,Movie:EoE,Movie:1.0,Movie:2.0,Movie:3.0,Movie:3.0+1.0,Manga:Vol.1,Manga:Vol.2,Manga:Vol.3,Manga:Vol.4,Manga:Vol.5,Manga:Vol.6,Manga:Vol.7,Manga:Vol.8,Manga:Vol.9,Manga:Vol.10,Manga:Vol.11,Manga:Vol.12,Manga:Vol.13,Manga:Vol.14"
"Gendo Ikari",183,"Brown","Brown","Human","Male","Japan","NERV Commander","Pathological Grief;Hedgehog's Dilemma;God Complex;Antisocial Traits","High","Ep:1,Ep:2,Ep:3,Ep:4,Ep:5,Ep:6,Ep:7,Ep:8,Ep:9,Ep:10,Ep:11,Ep:12,Ep:13,Ep:14,Ep:15,Ep:16,Ep:17,Ep:18,Ep:19,Ep:20,Ep:21,Ep:22,Ep:23,Ep:24,Ep:25,Ep:26,Movie:EoE,Movie:1.0,Movie:2.0,Movie:3.0,Movie:3.0+1.0,Manga:Vol.1,Manga:Vol.2,Manga:Vol.3,Manga:Vol.4,Manga:Vol.5,Manga:Vol.6,Manga:Vol.7,Manga:Vol.8,Manga:Vol.9,Manga:Vol.10,Manga:Vol.11,Manga:Vol.12,Manga:Vol.13,Manga:Vol.14"
"Ritsuko Akagi",162,"Blue","Blonde","Human","Female","Japan","Chief Scientist","Masochistic Personality;Mother-Daughter Rivalry","High","Ep:1,Ep:2,Ep:3,Ep:4,Ep:5,Ep:6,Ep:7,Ep:8,Ep:9,Ep:10,Ep:11,Ep:12,Ep:13,Ep:14,Ep:15,Ep:16,Ep:17,Ep:18,Ep:19,Ep:20,Ep:21,Ep:22,Ep:23,Ep:24,Ep:25,Ep:26,Movie:EoE,Movie:1.0,Movie:2.0,Movie:3.0,Movie:3.0+1.0,Manga:Vol.1,Manga:Vol.2,Manga:Vol.3,Manga:Vol.4,Manga:Vol.5,Manga:Vol.6,Manga:Vol.7,Manga:Vol.8,Manga:Vol.9,Manga:Vol.10,Manga:Vol.11,Manga:Vol.12,Manga:Vol.13,Manga:Vol.14"
"Ryoji Kaji",178,"Brown","Brown","Human","Male","Japan","Special Inspector","Survivor Guilt","Medium","Ep:8,Ep:9,Ep:10,Ep:11,Ep:12,Ep:15,Ep:17,Ep:19,Ep:20,Ep:21,Movie:2.0,Manga:Vol.7,Manga:Vol.8,Manga:Vol.9,Manga:Vol.10,Manga:Vol.11,Manga:Vol.12"
"Toji Suzuhara",151,"Brown","Black","Human","Male","Japan","Pilot (Unit-03);Fourth Child;Unlicensed Doctor","Survivor Guilt","High","Ep:3,Ep:4,Ep:7,Ep:8,Ep:9,Ep:17,Ep:18,Ep:19,Ep:20,Movie:1.0,Movie:2.0,Movie:3.0+1.0,Manga:Vol.1,Manga:Vol.2,Manga:Vol.3,Manga:Vol.4,Manga:Vol.5,Manga:Vol.6"
"Kensuke Aida",152,"Brown","Brown","Human","Male","Japan","Student;Technician","None","None","Ep:3,Ep:4,Ep:7,Ep:8,Ep:9,Ep:10,Ep:12,Ep:13,Ep:17,Ep:18,Movie:1.0,Movie:2.0,Movie:3.0+1.0,Manga:Vol.1,Manga:Vol.2,Manga:Vol.3,Manga:Vol.4,Manga:Vol.5,Manga:Vol.6,Manga:Vol.7,Manga:Vol.8,Manga:Vol.9,Manga:Vol.10,Manga:Vol.11,Manga:Vol.12,Manga:Vol.13,Manga:Vol.14"
"Hikari Horaki",150,"Brown","Brown","Human","Female","Japan","Class Representative","None","None","Ep:3,Ep:7,Ep:8,Ep:17,Ep:18,Ep:23,Movie:1.0,Movie:2.0,Movie:3.0+1.0,Manga:Vol.1,Manga:Vol.2,Manga:Vol.3,Manga:Vol.4,Manga:Vol.5,Manga:Vol.6,Manga:Vol.7,Manga:Vol.8,Manga:Vol.9,Manga:Vol.10,Manga:Vol.11,Manga:Vol.12,Manga:Vol.13,Manga:Vol.14"
